assembly_accession,organism_name,taxid,assembly_level,domain,phylum,class,order,family,genus,species,in_train,fna_path,gtf_path,genome_length,sequence_headers,num_sequences,category
GCF_018406445.1,Nitrosospira_sp._NRS527,155925,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosospira sp. NRS527,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_018406445.1/GCF_018406445.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_018406445.1/GCF_018406445.1_annotation.gtf.gz,3398764.0,NZ_AP024515.1;NZ_AP024516.1;NZ_AP024517.1,3.0,bacteria
GCF_003031245.1,Rhodopseudomonas_palustris,1076,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003031245.1/GCF_003031245.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003031245.1/GCF_003031245.1_annotation.gtf.gz,5371816.0,NZ_CP019967.1,1.0,bacteria
GCF_002354875.1,Actinosynnema_pretiosum,42197,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema pretiosum,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002354875.1/GCF_002354875.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002354875.1/GCF_002354875.1_annotation.gtf.gz,8131572.0,NZ_CP023445.1,1.0,bacteria
GCF_018802645.1,Paludibacterium_yongneupense,400061,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Paludibacterium,Paludibacterium yongneupense,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_018802645.1/GCF_018802645.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_018802645.1/GCF_018802645.1_annotation.gtf.gz,4413527.0,NZ_CP069162.1,1.0,bacteria
GCF_000145255.1,Gallionella_capsiferriformans_ES-2,395494,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,Gallionella capsiferriformans ES-2,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000145255.1/GCF_000145255.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000145255.1/GCF_000145255.1_annotation.gtf.gz,3162471.0,NC_014394.1,1.0,bacteria
GCF_001649535.1,Rhizobium_rhizogenes,359,Chromosome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium rhizogenes,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001649535.1/GCF_001649535.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001649535.1/GCF_001649535.1_annotation.gtf.gz,5277347.0,NZ_CM004386.1;NZ_LYBK01000002.1;NZ_LYBK01000003.1;NZ_LYBK01000004.1;NZ_LYBK01000005.1;NZ_LYBK01000006.1;NZ_LYBK01000007.1;NZ_LYBK01000008.1;NZ_LYBK01000009.1;NZ_LYBK01000010.1;NZ_LYBK01000011.1;NZ_LYBK01000012.1;NZ_LYBK01000013.1;NZ_LYBK01000014.1;NZ_LYBK01000015.1;NZ_LYBK01000016.1;NZ_LYBK01000017.1;NZ_LYBK01000018.1,18.0,bacteria
GCF_002127965.1,Oxalobacter_formigenes,847,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Oxalobacter formigenes,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002127965.1/GCF_002127965.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002127965.1/GCF_002127965.1_annotation.gtf.gz,2468871.0,NZ_CP018787.1,1.0,bacteria
GCF_000014265.1,Trichodesmium_erythraeum_IMS101,203124,Complete Genome,bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium erythraeum IMS101,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000014265.1/GCF_000014265.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000014265.1/GCF_000014265.1_annotation.gtf.gz,7750108.0,NC_008312.1,1.0,bacteria
GCF_000967305.2,Alcaligenes_faecalis,511,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes faecalis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000967305.2/GCF_000967305.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000967305.2/GCF_000967305.2_annotation.gtf.gz,4248684.0,NZ_CP013119.1;NZ_CP013143.1,2.0,bacteria
GCF_023558375.1,Chroococcidiopsis_sp._CCMEE_29,155894,Chromosome,bacteria,Cyanobacteriota,Cyanophyceae,Chroococcidiopsidales,Chroococcidiopsidaceae,Chroococcidiopsis,Chroococcidiopsis sp. CCMEE 29,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_023558375.1/GCF_023558375.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_023558375.1/GCF_023558375.1_annotation.gtf.gz,6389872.0,NZ_CP083761.1;NZ_CP083762.1,2.0,bacteria
GCF_002094405.3,Prescottella_equi,43767,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Prescottella,Prescottella equi,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002094405.3/GCF_002094405.3_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002094405.3/GCF_002094405.3_annotation.gtf.gz,5453414.0,NZ_CP095477.1;NZ_CP095480.1;NZ_CP095479.1;NZ_CP095478.1,4.0,bacteria
GCF_001712815.1,Tetragenococcus_halophilus,51669,Complete Genome,bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus halophilus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001712815.1/GCF_001712815.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001712815.1/GCF_001712815.1_annotation.gtf.gz,2389470.0,NZ_CP012047.1,1.0,bacteria
GCF_015476235.1,Caldimonas_thermodepolymerans,215580,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Caldimonas,Caldimonas thermodepolymerans,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_015476235.1/GCF_015476235.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_015476235.1/GCF_015476235.1_annotation.gtf.gz,3858501.0,NZ_CP064338.1,1.0,bacteria
GCF_004011095.1,Rathayibacter_rathayi,33887,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Rathayibacter,Rathayibacter rathayi,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_004011095.1/GCF_004011095.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_004011095.1/GCF_004011095.1_annotation.gtf.gz,3103889.0,NZ_CP028129.1,1.0,bacteria
GCF_008705155.1,Empedobacter_brevis,247,Complete Genome,bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Empedobacter,Empedobacter brevis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008705155.1/GCF_008705155.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008705155.1/GCF_008705155.1_annotation.gtf.gz,3636346.0,NZ_CP043634.1;NZ_CP043637.1;NZ_CP043636.1;NZ_CP043635.1,4.0,bacteria
GCF_028583725.1,Cellulomonas_fimi,1708,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas fimi,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_028583725.1/GCF_028583725.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_028583725.1/GCF_028583725.1_annotation.gtf.gz,4486221.0,NZ_CP110680.1,1.0,bacteria
GCF_900187045.1,Dermatophilus_congolensis,1863,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermatophilaceae,Dermatophilus,Dermatophilus congolensis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900187045.1/GCF_900187045.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900187045.1/GCF_900187045.1_annotation.gtf.gz,2627820.0,NZ_LT906453.1,1.0,bacteria
GCF_000152925.2,Dokdonia_sp._MED134,313590,Complete Genome,bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia sp. MED134,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000152925.2/GCF_000152925.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000152925.2/GCF_000152925.2_annotation.gtf.gz,3302548.0,NZ_CP009301.1,1.0,bacteria
GCF_002209145.2,Jonesia_denitrificans,43674,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Micrococcales,Jonesiaceae,Jonesia,Jonesia denitrificans,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002209145.2/GCF_002209145.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002209145.2/GCF_002209145.2_annotation.gtf.gz,2788798.0,NZ_CP022038.2,1.0,bacteria
GCF_008120855.1,Cellvibrio_japonicus,155077,Chromosome,bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio japonicus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008120855.1/GCF_008120855.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008120855.1/GCF_008120855.1_annotation.gtf.gz,4576591.0,NZ_CP043304.1,1.0,bacteria
GCF_014076555.1,Pectinatus_frisingensis,865,Complete Genome,bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Pectinatus,Pectinatus frisingensis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_014076555.1/GCF_014076555.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_014076555.1/GCF_014076555.1_annotation.gtf.gz,2881049.0,NZ_CP045424.1,1.0,bacteria
GCF_003575005.1,Xenorhabdus_nematophila,628,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Xenorhabdus nematophila,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003575005.1/GCF_003575005.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003575005.1/GCF_003575005.1_annotation.gtf.gz,4288892.0,NZ_CP032329.1,1.0,bacteria
GCF_030450005.1,Gluconobacter_oxydans,442,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconobacter,Gluconobacter oxydans,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_030450005.1/GCF_030450005.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_030450005.1/GCF_030450005.1_annotation.gtf.gz,2990259.0,NZ_CP102494.1;NZ_CP102495.1;NZ_CP102496.1;NZ_CP102497.1;NZ_CP102498.1;NZ_CP102499.1,6.0,bacteria
GCF_001586165.1,Obesumbacterium_proteus,82983,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Obesumbacterium,Obesumbacterium proteus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001586165.1/GCF_001586165.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001586165.1/GCF_001586165.1_annotation.gtf.gz,5011796.0,NZ_CP014608.1,1.0,bacteria
GCF_000007085.1,Caldanaerobacter_subterraneus_subsp._tengcongensis_MB4,273068,Complete Genome,bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,Caldanaerobacter subterraneus subsp. tengcongensis MB4,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000007085.1/GCF_000007085.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000007085.1/GCF_000007085.1_annotation.gtf.gz,2689445.0,NC_003869.1,1.0,bacteria
GCF_000612055.1,Trueperella_pyogenes,1661,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000612055.1/GCF_000612055.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000612055.1/GCF_000612055.1_annotation.gtf.gz,2338390.0,NZ_CP007519.1,1.0,bacteria
GCF_042140235.1,Hoeflea_alexandrii,288436,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Hoeflea,Hoeflea alexandrii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_042140235.1/GCF_042140235.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_042140235.1/GCF_042140235.1_annotation.gtf.gz,4829646.0,NZ_CP159480.1,1.0,bacteria
GCF_012584515.1,Polaromonas_vacuolata,37448,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas vacuolata,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_012584515.1/GCF_012584515.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_012584515.1/GCF_012584515.1_annotation.gtf.gz,3837686.0,NZ_CP051461.1,1.0,bacteria
GCF_020162115.1,Tepidimonas_taiwanensis,307486,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Tepidimonas,Tepidimonas taiwanensis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_020162115.1/GCF_020162115.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_020162115.1/GCF_020162115.1_annotation.gtf.gz,2915587.0,NZ_CP083911.1,1.0,bacteria
GCF_036492425.1,Persicobacter_psychrovividus,387638,Complete Genome,bacteria,Bacteroidota,Cytophagia,Cytophagales,Persicobacteraceae,Persicobacter,Persicobacter psychrovividus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_036492425.1/GCF_036492425.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_036492425.1/GCF_036492425.1_annotation.gtf.gz,6148614.0,NZ_AP025292.1;NZ_AP025304.1;NZ_AP025293.1;NZ_AP025294.1;NZ_AP025295.1;NZ_AP025296.1;NZ_AP025297.1;NZ_AP025298.1;NZ_AP025299.1;NZ_AP025300.1;NZ_AP025301.1;NZ_AP025302.1;NZ_AP025303.1,13.0,bacteria
GCF_000756415.2,Piscirickettsia_salmonis,1238,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000756415.2/GCF_000756415.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000756415.2/GCF_000756415.2_annotation.gtf.gz,3509678.0,NZ_CP012508.1;NZ_CP012509.1;NZ_CP012510.1;NZ_CP012511.1;NZ_CP012512.1,5.0,bacteria
GCF_014233485.1,Ewingella_americana,41202,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Ewingella,Ewingella americana,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_014233485.1/GCF_014233485.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_014233485.1/GCF_014233485.1_annotation.gtf.gz,5101916.0,NZ_CP048243.1;NZ_CP048244.1;NZ_CP048245.1,3.0,bacteria
GCF_003945385.1,Pseudonocardia_autotrophica,2074,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia autotrophica,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003945385.1/GCF_003945385.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003945385.1/GCF_003945385.1_annotation.gtf.gz,7535285.0,NZ_AP018920.1;NZ_AP018921.1,2.0,bacteria
GCF_000685665.1,Helicobacter_pylori,210,Complete Genome,bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000685665.1/GCF_000685665.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000685665.1/GCF_000685665.1_annotation.gtf.gz,1604233.0,NZ_CP007604.1,1.0,bacteria
GCF_004551665.1,Kerstersia_gyiorum,206506,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Kerstersia,Kerstersia gyiorum,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_004551665.1/GCF_004551665.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_004551665.1/GCF_004551665.1_annotation.gtf.gz,3945801.0,NZ_CP033936.1,1.0,bacteria
GCF_002370415.1,Leuconostoc_mesenteroides,1245,Complete Genome,bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002370415.1/GCF_002370415.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002370415.1/GCF_002370415.1_annotation.gtf.gz,2137369.0,NZ_AP017936.1;NZ_AP017937.1;NZ_AP017938.1;NZ_AP017939.1,4.0,bacteria
GCF_040702985.1,Alloscardovia_omnicolens,419015,Chromosome,bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia omnicolens,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_040702985.1/GCF_040702985.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_040702985.1/GCF_040702985.1_annotation.gtf.gz,1907646.0,NZ_CP159991.1,1.0,bacteria
GCF_009906955.1,Paraglaciecola_mesophila,197222,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,Paraglaciecola mesophila,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_009906955.1/GCF_009906955.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_009906955.1/GCF_009906955.1_annotation.gtf.gz,5039229.0,NZ_CP047656.1;NZ_CP047657.1,2.0,bacteria
GCF_000834195.1,Yersinia_enterocolitica,630,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000834195.1/GCF_000834195.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000834195.1/GCF_000834195.1_annotation.gtf.gz,4615412.0,NZ_CP009367.1;NZ_CP009366.1,2.0,bacteria
GCF_004168325.2,Zymomonas_mobilis,542,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Zymomonadaceae,Zymomonas,Zymomonas mobilis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_004168325.2/GCF_004168325.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_004168325.2/GCF_004168325.2_annotation.gtf.gz,2161436.0,NZ_CP035713.1;NZ_CP036466.1;NZ_CP036467.1;NZ_CP036468.1,4.0,bacteria
GCF_000943515.2,Amycolatopsis_orientalis,31958,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis orientalis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000943515.2/GCF_000943515.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000943515.2/GCF_000943515.2_annotation.gtf.gz,9490992.0,NZ_CP016174.1,1.0,bacteria
GCF_003867075.1,Tenacibaculum_mesophilum,104268,Chromosome,bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum mesophilum,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003867075.1/GCF_003867075.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003867075.1/GCF_003867075.1_annotation.gtf.gz,3344178.0,NZ_CP032544.1,1.0,bacteria
GCF_020683165.1,Xanthobacter_autotrophicus,280,Chromosome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter,Xanthobacter autotrophicus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_020683165.1/GCF_020683165.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_020683165.1/GCF_020683165.1_annotation.gtf.gz,5216997.0,NZ_CP085618.1,1.0,bacteria
GCF_001605015.1,Aminobacter_aminovorans,83263,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aminobacter,Aminobacter aminovorans,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001605015.1/GCF_001605015.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001605015.1/GCF_001605015.1_annotation.gtf.gz,6890726.0,NZ_CP015005.1;NZ_CP015006.1;NZ_CP015007.1;NZ_CP015008.1;NZ_CP015009.1,5.0,bacteria
GCF_020735845.1,Tsukamurella_paurometabola,2061,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella paurometabola,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_020735845.1/GCF_020735845.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_020735845.1/GCF_020735845.1_annotation.gtf.gz,4703056.0,NZ_CP085954.1,1.0,bacteria
GCF_024347255.1,Amphritea_atlantica,355243,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea atlantica,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_024347255.1/GCF_024347255.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_024347255.1/GCF_024347255.1_annotation.gtf.gz,4804482.0,NZ_AP025284.1,1.0,bacteria
GCF_000021325.1,Gluconacetobacter_diazotrophicus_PA1_5,272568,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter diazotrophicus PA1 5,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000021325.1/GCF_000021325.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000021325.1/GCF_000021325.1_annotation.gtf.gz,3914947.0,NC_011365.1;NC_011367.1,2.0,bacteria
GCF_043587585.1,Azorhizophilus_paspali,69963,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus,Azorhizophilus paspali,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_043587585.1/GCF_043587585.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_043587585.1/GCF_043587585.1_annotation.gtf.gz,4651599.0,NZ_CP171449.1,1.0,bacteria
GCF_008369805.1,Lentilactobacillus_buchneri,1581,Complete Genome,bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus buchneri,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008369805.1/GCF_008369805.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008369805.1/GCF_008369805.1_annotation.gtf.gz,2583542.0,NZ_CP043615.1;NZ_CP043613.1;NZ_CP043616.1;NZ_CP043614.1,4.0,bacteria
GCF_016865425.1,Actinocatenispora_thailandica,227318,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinocatenispora,Actinocatenispora thailandica,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_016865425.1/GCF_016865425.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_016865425.1/GCF_016865425.1_annotation.gtf.gz,7426695.0,NZ_AP023355.1,1.0,bacteria
